Date,Open,High,Low,Close,Volume,Adj Close,Month Date
8/3/15,121.5,122.57,92,112.760002,79152700,110.997612,
9/1/15,110.150002,116.889999,107.360001,110.300003,60620000,108.576057,2015/08
10/1/15,109.07,121.220001,107.309998,119.5,52797300,117.632263,2015/09
11/2/15,120.800003,123.82,111,118.300003,39491000,116.949501,2015/10
12/1/15,118.75,119.860001,104.82,105.260002,43750400,104.058365,2015/11
1/4/16,102.610001,105.849998,92.389999,97.339996,70329700,96.228775,2015/12
2/1/16,96.470001,98.889999,92.589996,96.690002,42303900,96.104874,2016/01
3/1/16,97.650002,110.419998,97.419998,108.989998,35088000,108.330437,2016/02
4/1/16,108.779999,112.389999,92.510002,93.739998,44805400,93.172722,2016/03
5/2/16,93.970001,100.730003,89.470001,99.860001,44903700,99.860001,2016/04
6/1/16,99.019997,101.889999,91.5,95.599998,37060600,95.599998,2016/05
7/1/16,95.489998,104.550003,94.370003,104.209999,34748300,104.209999,2016/06
8/1/16,104.410004,106.150002,104.410004,106.050003,74998000,106.050003,2016/07
