Date,Open,High,Low,Close,Volume,Adj Close
6/30/10,67.980003,70.349998,67.68,68.080002,15191200,68.080002
7/1/10,69.349998,69.879997,65.900002,68.550003,11540100,68.550003
7/2/10,69.379997,69.410004,67.160004,67.550003,6293500,67.550003
7/6/10,69.199997,70.059998,66.849998,67.449997,9658200,67.449997
7/7/10,67.519997,72.440002,67.25,72.370003,12808300,72.370003
7/8/10,73.300003,73.75,71.099998,72.43,11403400,72.43
7/9/10,70.199997,71.839996,70.080002,71.199997,14945000,71.199997
7/12/10,70.68,71.779999,70.349998,70.730003,8280100,70.730003
7/13/10,72.160004,74.800003,71.389999,74.379997,13455900,74.379997
7/14/10,75.139999,75.480003,73.989998,75.029999,9501900,75.029999
7/15/10,75.010002,75.860001,74.110001,75.639999,8528600,75.639999
7/16/10,75.230003,75.699997,73.290001,73.529999,10384900,73.529999
7/19/10,71.669998,73.389999,70.379997,72.900002,15400600,72.900002
7/20/10,71.260002,74.230003,70.75,74.040001,9721000,74.040001
7/21/10,74.980003,76.580002,73,73.309998,18796800,73.309998
7/22/10,76.379997,76.459999,72.300003,74.449997,19747500,74.449997
7/23/10,75.400002,78.220001,74.5,78.059998,13308300,78.059998
7/26/10,78.870003,80.870003,78.300003,80.370003,13939300,80.370003
7/27/10,80.730003,81.989998,80.110001,81.07,10737400,81.07
7/28/10,80.779999,81.18,78.879997,79.400002,7746700,79.400002
7/29/10,80.089996,80.459999,77.639999,79.199997,9387900,79.199997
7/30/10,79.400002,81.550003,78.300003,81.410004,12327800,81.410004
8/2/10,83.029999,84.980003,82.900002,84.599998,13600000,84.599998
8/3/10,84.620003,85.349998,82.800003,84.790001,10146900,84.790001
8/4/10,85.410004,86.910004,85.07,86.599998,11704500,86.599998
8/5/10,86.260002,86.459999,84.849998,85.57,8026600,85.57
8/6/10,84.639999,86.599998,84.330002,86.529999,8692300,86.529999
8/9/10,87.449997,88,86.699997,87.559998,8792800,87.559998
8/10/10,86.510002,88.32,85.620003,87.870003,9241200,87.870003
8/11/10,85.75,86.349998,83.440002,84.230003,11797200,84.230003
8/12/10,81.849998,84.110001,80.099998,82.650002,12296600,82.650002
8/13/10,82.760002,83.5,82.040001,82.830002,6509900,82.830002
8/16/10,82.309998,85.269997,82.110001,84.349998,7411800,84.349998
8/17/10,85.769997,86.050003,84.300003,84.43,7173200,84.43
8/18/10,84.660004,84.800003,82.800003,82.919998,7654500,82.919998
8/19/10,82.550003,83.300003,81.010002,81.190002,8077800,81.190002
8/20/10,80.610001,82.690002,80.400002,82.169998,7904900,82.169998
8/23/10,81.220001,81.389999,79.239998,79.370003,10254100,79.370003
8/24/10,77.739998,78.879997,76.82,77.339996,9577400,77.339996
8/25/10,76.410004,78.550003,76,78.300003,7715300,78.300003
8/26/10,79.400002,79.43,76.589996,76.599998,6350800,76.599998
8/27/10,76.870003,79.68,76.080002,79.370003,7554500,79.370003
8/30/10,79.790001,80.599998,77.190002,77.239998,6741300,77.239998
8/31/10,76.699997,78.940002,76.040001,78.43,7701700,78.43
9/1/10,80.440002,82.550003,79.900002,81.839996,8954500,81.839996
9/2/10,82,83.400002,81.620003,82.610001,5593100,82.610001
9/3/10,84.010002,84.580002,83.25,84.300003,7335800,84.300003
9/7/10,84.099998,84.589996,82.160004,82.269997,6771200,82.269997
9/8/10,82.970001,84.43,82.889999,84.190002,6490800,84.190002
9/9/10,85.230003,85.550003,83.290001,83.830002,6157600,83.830002
