Date,Open,High,Low,Close,Volume,Adj Close,,
6/30/10,32.16,32.509998,31.360001,31.5,17186400,28.872496,,
7/1/10,31.469999,32.099998,30.91,31.49,19906200,28.86333,,
7/2/10,31.559999,31.68,30.719999,31.379999,15597300,28.762505,,
7/6/10,31.77,32.299999,31.379999,31.719999,15215500,29.074145,,
7/7/10,31.73,33.169998,31.66,33.139999,14309500,30.375698,,
7/8/10,33.330002,33.540001,32.900002,33.34,10044000,30.559017,,
7/9/10,33.380001,33.799999,33.369999,33.75,8530900,30.934817,,
7/12/10,33.580002,33.889999,33.389999,33.77,10094300,30.953149,,
7/13/10,34.110001,34.669998,33.959999,34.450001,8653000,31.576429,,
7/14/10,34.240002,34.509998,33.919998,34.240002,7955100,31.383946,,
7/15/10,34.150002,34.419998,33.599998,34.049999,10656300,31.209793,,
7/16/10,33.889999,34,32.919998,33.029999,13060100,30.274873,,
7/19/10,33.09,33.5,32.990002,33.310001,9647000,30.53152,,
7/20/10,33.330002,33.450001,32.799999,33.400002,11632000,30.614013,,
7/21/10,33.470001,33.599998,32.630001,32.810001,10151100,30.073226,,
7/22/10,33.09,33.77,33.049999,33.59,9984500,30.788163,,
7/23/10,33.52,34.209999,33.450001,34.130001,10790200,31.283121,,
7/26/10,34.09,34.720001,34.09,34.400002,10104400,31.5306,,
7/27/10,34.66,34.66,33.959999,34.279999,7103000,31.420607,,
7/28/10,34.189999,34.209999,33.799999,34.040001,6089200,31.200628,,
7/29/10,34.220001,34.799999,33.419998,33.709999,9938400,30.898153,,
7/30/10,33.369999,33.880001,33.02,33.689999,7805000,30.879821,,
8/2/10,34.139999,34.68,34.130001,34.48,9948800,31.603925,,
8/3/10,34.439999,34.549999,34.02,34.209999,8503300,31.356446,,
8/4/10,34.41,34.959999,34.139999,34.830002,9840700,31.924733,,
8/5/10,34.68,35.049999,34.560001,34.98,8407300,32.062219,,
8/6/10,34.580002,35.09,34.389999,35,8061700,32.080551,,
8/9/10,34.959999,35.23,34.900002,35.16,7809300,32.227205,,
8/10/10,34.889999,35.41,34.73,35.290001,12353400,32.346362,,
8/11/10,34.77,34.77,34.130001,34.220001,15028900,31.365614,,
8/12/10,33.849998,34.299999,33.709999,33.990002,11809600,31.1548,,
8/13/10,33.790001,33.810001,33.41,33.68,11058100,30.870656,,
8/16/10,33.439999,33.75,33.110001,33.66,6917800,30.852324,,
8/17/10,33.919998,33.990002,33.509998,33.759998,9875200,30.943981,,
8/18/10,33.810001,34.220001,33.400002,33.91,8325000,31.081471,,
8/19/10,33.720001,33.779999,33.060001,33.189999,12070700,30.421527,,
8/20/10,33,33.200001,32.709999,33.049999,8632700,30.293205,,
8/23/10,33.23,33.549999,32.799999,32.93,8046500,30.183216,,
8/24/10,32.490002,32.700001,31.969999,32.139999,14229700,29.459111,,
8/25/10,31.870001,32.240002,31.549999,32.110001,14144000,29.431615,,
