Date,Open,High,Low,Close,Volume,Adj Close
6/30/10,17.059999,18,17.059999,17.190001,1214100,16.11441
7/1/10,17,17.43,16.719999,17.379999,1210700,16.292521
7/2/10,17.41,17.41,17,17.16,506500,16.086287
7/6/10,17.51,17.620001,17.01,17.27,731900,16.189405
7/7/10,16.879999,17.459999,16.879999,17.299999,903300,16.217526
7/8/10,17.58,17.68,17.200001,17.559999,879200,16.461258
7/9/10,17.51,17.74,17.41,17.65,3221400,16.545627
7/12/10,17.84,17.9,17.6,17.809999,662900,16.695615
7/13/10,17.969999,18.74,17.959999,18.52,1262000,17.361191
7/14/10,18.25,18.25,17.73,18,1116200,16.873728
7/15/10,18.049999,18.290001,17.92,18.15,779700,17.014342
7/16/10,18.299999,18.309999,18,18.07,734300,16.939347
7/19/10,18.049999,18.27,17.84,18.27,532400,17.126834
7/20/10,17.99,18.379999,17.700001,18.280001,594300,17.136208
7/21/10,18.34,18.450001,17.959999,18.08,717900,16.948722
7/22/10,18.49,18.969999,18.42,18.84,983500,17.661168
7/23/10,18.809999,18.9,18.530001,18.870001,710900,17.689292
7/26/10,18.360001,19.26,18.360001,19.07,841400,17.876777
7/27/10,19.120001,19.15,18.76,18.969999,1502300,17.783033
7/28/10,18.82,19.280001,18.82,19.24,1193000,18.03614
7/29/10,19.32,19.32,18.83,19.1,847800,17.9049
7/30/10,18.719999,19.25,18.68,18.91,915600,17.726788
8/2/10,19.110001,19.48,19.1,19.4,725200,18.186128
8/3/10,19.379999,19.459999,18.799999,19.459999,724400,18.242373
8/4/10,19.440001,19.5,19.120001,19.309999,579200,18.101759
8/5/10,19.129999,19.4,19.1,19.389999,377900,18.176754
8/6/10,19.5,19.870001,19.450001,19.870001,1025200,18.939283
8/9/10,19.99,20.1,19.9,20.059999,940900,19.120382
8/10/10,20.360001,20.83,20.360001,20.67,2136500,19.70181
8/11/10,21.15,21.690001,21.15,21.530001,3808000,20.521527
8/12/10,21.57,21.889999,21.5,21.84,3046500,20.817006
8/13/10,22.139999,22.139999,21.540001,21.549999,1725400,20.540589
8/16/10,21.49,22,20.91,21.940001,1513500,20.912323
8/17/10,22.02,22.93,21.799999,22.73,3295300,21.665318
8/18/10,22.9,22.93,22.43,22.49,1793500,21.43656
8/19/10,22.26,22.74,21.969999,22,2091500,20.969512
8/20/10,21.73,22.75,21.52,22.68,1774900,21.617661
8/23/10,22.549999,22.82,22.200001,22.309999,1242700,21.264991
8/24/10,22.16,22.16,21.780001,22.1,1384600,21.064828
8/25/10,21.549999,21.58,21.02,21.299999,2263800,20.302299
8/26/10,21.74,21.9,21.440001,21.58,1548800,20.569185
8/27/10,21.74,22.15,21.68,22.08,1445400,21.045765
8/30/10,21.799999,21.799999,21.16,21.17,1174400,20.178389
8/31/10,21.5,21.75,21.379999,21.41,1705000,20.407148
9/1/10,21.709999,21.9,21.540001,21.9,1041500,20.874196
9/2/10,22.01,22.459999,22.01,22.440001,1020500,21.388903
9/3/10,22.469999,22.799999,22.25,22.68,2584100,21.617661
9/7/10,22.540001,22.66,22.33,22.530001,1055000,21.474687
9/8/10,22.57,22.68,22.450001,22.65,1003400,21.589065
