Date,Open,High,Low,Close,Volume,Adj Close
6/30/10,57.330002,57.73,56.919998,57.07,43944900,48.248732
7/1/10,56.98,57.27,56.169998,56.610001,47746400,47.859834
7/2/10,56.849998,56.990002,55.939999,56.57,32767900,47.826016
7/6/10,57.169998,57.59,56.77,57.459999,36912100,48.578449
7/7/10,57.369999,58.450001,57.259998,58.43,41797200,49.398518
7/8/10,59.130001,59.200001,58.130001,58.810001,40430300,49.719782
7/9/10,58.759998,59.009998,58.299999,58.779999,25976500,49.694417
7/12/10,58.290001,58.939999,58.200001,58.939999,23515000,49.829686
7/13/10,59.599998,59.720001,59.040001,59.419998,30514200,50.235493
7/14/10,59.220001,59.34,58.619999,59.259998,26061100,50.100224
7/15/10,59.360001,59.490002,58.59,59.27,24737300,50.10868
7/16/10,58.84,59.110001,57.810001,57.959999,35805700,49.001164
7/19/10,58.330002,58.740002,58.099998,58.43,20960000,49.398518
7/20/10,57.68,58.990002,57.669998,58.950001,23807300,49.838142
7/21/10,59.130001,59.130001,57.599998,58.169998,26859700,49.178704
7/22/10,58.709999,59.790001,58.66,59.380001,27051400,50.201678
7/23/10,59.259998,59.810001,58.799999,59.720001,19281400,50.489124
7/26/10,59.700001,60.439999,59.630001,60.389999,20236500,51.055561
7/27/10,60.619999,60.900002,60.389999,60.810001,22400800,51.410644
7/28/10,60.73,61.27,60.73,60.91,23511100,51.495186
7/29/10,61.419998,61.880001,60.290001,60.34,33763000,51.01329
7/30/10,60.150002,60.509998,59.599998,59.68,29354600,50.455306
8/2/10,60.639999,62.040001,60.610001,61.939999,28144000,52.365978
8/3/10,61.98,62.990002,61.880001,62.720001,31075800,53.025417
8/4/10,62.860001,62.889999,62.27,62.720001,21033800,53.025417
8/5/10,62.279999,62.709999,61.849998,62.709999,19985300,53.01696
8/6/10,61.919998,62.5,61.25,61.970001,23097300,52.391343
8/9/10,62.560001,62.669998,62.18,62.450001,14731300,52.79715
8/10/10,61.849998,62.169998,61.450001,61.93,23188500,52.357525
8/11/10,60.549999,60.66,60.200001,60.389999,24281300,51.420899
8/12/10,59.700001,60.560001,59.560001,60.23,16951300,51.284662
8/13/10,59.959999,60.450001,59.799999,59.91,14651300,51.012189
8/16/10,59.599998,60.25,59.25,59.880001,14301100,50.986645
8/17/10,60.490002,61.16,60.139999,60.82,20122200,51.787036
8/18/10,60.669998,60.720001,59.630001,60.150002,20071500,51.216545
8/19/10,59.93,60.060001,58.900002,59.290001,21174500,50.484272
8/20/10,59.02,59.07,58.549999,58.889999,21008800,50.143678
8/23/10,58.970001,60.049999,58.900002,59.5,21337700,50.663082
8/24/10,58.959999,59.450001,58.790001,58.939999,25679100,50.186252
8/25/10,58.689999,59.400002,58.419998,58.91,20944000,50.160708
8/26/10,59.360001,59.5,58.330002,58.48,22320900,49.794571
8/27/10,58.720001,59.959999,58.049999,59.799999,28279500,50.918525
8/30/10,59.560001,59.900002,58.959999,59,16265100,50.237342
8/31/10,58.75,59.540001,58.5,59.110001,26985400,50.331005
9/1/10,60.040001,60.959999,59.720001,60.91,26286200,51.863669
9/2/10,60.490002,61.060001,60.369999,61.060001,18662600,51.991392
9/3/10,61.200001,61.599998,60.75,61.32,21982900,52.212776
9/7/10,60.889999,61.07,60.450001,60.549999,19435700,51.557135
9/8/10,60.66,61.259998,60.630001,60.75,17380600,51.727432
9/9/10,61.5,61.59,60.91,61.049999,16525200,51.982876
9/10/10,61.380001,61.48,60.950001,61.200001,14488400,52.110599
9/13/10,61.389999,61.52,60.540001,61,23141800,51.940302
9/14/10,60.84,61.34,60.75,61.009998,17977500,51.948816
9/15/10,60.759998,61.029999,60.360001,61,18769900,51.940302
9/16/10,60.849998,60.990002,60.450001,60.970001,16432500,51.914759
9/17/10,61.189999,61.299999,60.630001,60.779999,26447200,51.752976
9/20/10,61.040001,61.82,60.950001,61.549999,21788100,52.408616
9/21/10,61.650002,61.900002,61.25,61.540001,20525200,52.400102
9/22/10,61.560001,62,61.41,61.450001,18207700,52.323469
9/23/10,60.990002,61.57,60.900002,61.150002,18097800,52.068026
9/24/10,61.509998,62.130001,61.360001,61.75,25145300,52.578913
9/27/10,61.990002,62.080002,61.68,61.709999,16642800,52.544853
9/28/10,61.630001,62.259998,61.27,62.060001,18806700,52.842873
9/29/10,61.77,62.02,61.27,61.59,21158000,52.442676
9/30/10,61.950001,62.439999,61.470001,61.790001,25460200,52.612973
10/1/10,62.32,62.580002,61.799999,62.540001,24160200,53.251583
10/4/10,62.52,62.73,61.84,62.189999,16902500,52.953563
10/5/10,62.59,63.400002,62.43,63.259998,25185400,53.864646
10/6/10,63.18,63.939999,63.18,63.939999,21645200,54.443653
10/7/10,63.959999,64,63.369999,63.849998,19468400,54.36702
10/8/10,63.810001,64.529999,63.630001,64.379997,22370500,54.818304
10/11/10,64.360001,64.809998,64.309998,64.550003,13848900,54.96306
10/12/10,64.309998,64.889999,63.93,64.699997,20732000,55.090777
10/13/10,64.839996,65.290001,64.57,65.040001,22560500,55.380284
10/14/10,65.050003,65.449997,64.870003,65.300003,17778100,55.60167
10/15/10,65.639999,65.650002,64.82,65.190002,25500700,55.508007
10/18/10,65.190002,66.540001,65.029999,66.279999,22481700,56.436118
10/19/10,65.589996,66.040001,64.589996,65.120003,25367400,55.448404
10/20/10,65.470001,66.389999,65.349998,66.010002,20543900,56.206221
10/21/10,66.290001,66.800003,65.650002,66.32,21291200,56.470178
10/22/10,66.510002,66.550003,66.129997,66.339996,13332800,56.487204
10/25/10,66.68,66.809998,66.160004,66.199997,16516600,56.367998
10/26/10,65.959999,66.57,65.809998,66.529999,17652900,56.648988
10/27/10,65.949997,65.989998,65.089996,65.669998,23358900,55.916714
10/28/10,66.43,66.699997,66.050003,66.220001,20464200,56.385031
10/29/10,66.099998,66.559998,65.989998,66.489998,19265600,56.614928
11/1/10,66.720001,67.209999,66.629997,66.949997,22372700,57.006608
11/2/10,67.32,68.25,67.209999,67.839996,26192200,57.764425
11/3/10,68.230003,68.269997,67.32,67.970001,26545300,57.875121
11/4/10,68.400002,69.599998,68.290001,69.379997,31221400,59.075705
11/5/10,69.440002,70,69.400002,70,26531700,59.603626
11/8/10,69.489998,70.419998,69.459999,70.32,23628000,59.876099
11/9/10,70.290001,71.110001,70.099998,70.629997,33938100,60.518726
11/10/10,70.959999,71.160004,70.150002,71.129997,25482400,60.947147
11/11/10,71,71.900002,70.730003,71.830002,23788900,61.54694
11/12/10,71.379997,71.400002,70.43,70.989998,24598100,60.827189
11/15/10,71.010002,71.220001,70.440002,70.480003,18779600,60.390205
11/16/10,69.620003,69.82,68.559998,68.940002,27543400,59.070668
11/17/10,68.839996,69.379997,68.559998,69.010002,17471800,59.130646
11/18/10,69.650002,70.389999,69.639999,70.309998,18322900,60.244537
11/19/10,70.199997,70.589996,69.360001,70.540001,24116400,60.441613
11/22/10,70.099998,70.300003,68.790001,70.190002,18907900,60.14172
11/23/10,68.800003,69.150002,68.32,68.980003,22672000,59.104942
11/24/10,69.25,70,69.190002,69.879997,19335600,59.876094
11/26/10,69.300003,69.43,68.900002,69.230003,7324600,59.319153
11/29/10,68.860001,69.639999,68.300003,69.449997,20021200,59.507652
11/30/10,68.550003,69.75,68.32,69.559998,27524300,59.601905
12/1/10,70.379997,71.550003,70.379997,71.330002,26590200,61.118519
12/2/10,71.190002,71.660004,70.949997,71.480003,21274800,61.247046
12/3/10,71.010002,71.300003,70.889999,71.190002,19457100,60.998562
12/6/10,71.199997,71.599998,71.059998,71.309998,15985400,61.101378
12/7/10,71.910004,72.18,71.419998,71.459999,23694600,61.229906
12/8/10,71.870003,72.220001,71.480003,71.849998,22654900,61.564074
12/9/10,72.050003,72.139999,71.330002,72,17971600,61.692601
12/10/10,72.18,72.18,71.620003,72.18,17699500,61.846833
12/13/10,72.410004,72.75,72.07,72.360001,21170500,62.001065
12/14/10,72.230003,72.5,71.93,72.18,20625900,61.846833
12/15/10,71.870003,72.309998,71.790001,71.849998,20979000,61.564074
12/16/10,71.919998,72.330002,71.57,72.220001,18513900,61.881107
12/17/10,72.110001,72.389999,71.779999,72.169998,36761300,61.838263
12/20/10,72.239998,72.5,71.879997,72.220001,16045800,61.881107
12/21/10,72.43,72.970001,72.230003,72.720001,21772800,62.309528
12/22/10,72.940002,73,72.650002,72.800003,14606600,62.378077
12/23/10,72.940002,73.199997,72.830002,73.199997,11390900,62.720809
12/27/10,72.809998,73.300003,72.809998,73.010002,9757200,62.558013
12/28/10,73.199997,73.559998,72.959999,73.419998,14423400,62.909315
12/29/10,73.410004,73.690002,73.339996,73.370003,11797700,62.866477
12/30/10,73.290001,73.510002,73.050003,73.360001,10790400,62.857906
12/31/10,73.160004,73.510002,73.019997,73.120003,15273700,62.652266
1/3/11,73.720001,74.790001,73.639999,74.550003,23320700,63.87755
1/4/11,74.709999,74.949997,74.419998,74.900002,20028500,64.177443
1/5/11,74.669998,74.870003,74.139999,74.699997,16550800,64.006071
1/6/11,74.900002,75.43,74.669998,75.18,22525300,64.417358
1/7/11,75.209999,75.900002,75.089996,75.589996,19297700,64.76866
1/10/11,75.129997,75.269997,74.580002,75.129997,20766400,64.374513
1/11/11,75.019997,75.860001,75.019997,75.690002,15805400,64.854349
1/12/11,75.940002,76.620003,75.669998,76.580002,17363000,65.616938
1/13/11,76.650002,76.82,75.980003,76.709999,20438100,65.728325
1/14/11,76.669998,78,76.5,77.839996,23478700,66.696553
1/18/11,77.790001,78.849998,77.720001,78.709999,23883600,67.442008
1/19/11,78.629997,78.93,78.129997,78.239998,21844100,67.039291
1/20/11,77.980003,78.160004,76.769997,77.75,29121600,66.619441
1/21/11,78.209999,79.099998,78.059998,78.980003,25084400,67.673359
1/24/11,78.849998,79.18,78.089996,78.589996,24871600,67.339185
1/25/11,78.220001,78.989998,77.93,78.68,21626300,67.416304
1/26/11,78.709999,79.860001,78.489998,79.660004,25555400,68.256012
1/27/11,79.839996,79.980003,79.339996,79.879997,17003500,68.444511
1/28/11,79.779999,79.889999,78.870003,78.989998,26300600,67.681923
1/31/11,79.919998,80.82,79.010002,80.68,34514400,69.129987
2/1/11,81.139999,83.959999,81.040001,83.910004,40829600,71.897589
2/2/11,83.589996,83.980003,83.260002,83.410004,18176900,71.469168
2/3/11,83.059998,83.550003,82.459999,83.440002,19647700,71.494872
2/4/11,83.25,83.519997,82.849998,83.279999,16558300,71.357774
2/7/11,83.449997,84,83.360001,83.93,15304300,71.914723
2/8/11,83.5,83.650002,82.639999,82.980003,17463500,71.475434
2/9/11,82.440002,82.779999,81.769997,82.550003,15890900,71.10505
2/10/11,81.68,83.309998,81.610001,83.199997,21050500,71.664927
2/11/11,82.230003,83.410004,82.230003,82.82,15993500,71.337614
2/14/11,82.07,85.110001,81.889999,84.910004,33108300,73.137854
2/15/11,84.790001,84.889999,82.669998,82.970001,25684600,71.466819
2/16/11,83.059998,83.860001,82.860001,83.690002,16673500,72.086997
2/17/11,83.970001,83.970001,83.050003,83.879997,17853500,72.250651
2/18/11,83.910004,84.5,83.5,84.5,22839500,72.784694
2/22/11,84.970001,86.699997,84.730003,85.440002,32580400,73.594372
2/23/11,86,88.230003,85.470001,87.07,38624600,74.998383
2/24/11,87.199997,87.529999,85.459999,85.970001,28577100,74.050891
2/25/11,85.790001,86.239998,85.290001,85.339996,22230300,73.508231
2/28/11,85.870003,86.559998,85.489998,85.529999,24507000,73.671891
3/1/11,86.410004,86.5,84.699997,84.800003,23001800,73.043104
3/2/11,84.589996,85.32,83.550003,85.080002,17423600,73.284283
3/3/11,85.459999,85.949997,85.050003,85.82,17153500,73.921686
3/4/11,85.919998,86,84.699997,85.080002,20028600,73.284283
3/7/11,85.839996,86.080002,84.690002,84.720001,18062700,72.974194
3/8/11,84.599998,85.110001,83.75,84.599998,17658200,72.870829
3/9/11,84.120003,84.550003,83.559998,84.379997,13306600,72.681329
3/10/11,83.800003,83.800003,81.199997,81.379997,25996300,70.097257
3/11/11,81.019997,82.910004,80.099998,82.120003,17607100,70.734666
3/14/11,81.669998,82.639999,81.459999,82.379997,16383200,70.958615
3/15/11,80.169998,82.089996,79.75,81.389999,23191300,70.105873
3/16/11,81.230003,81.809998,78.800003,79.309998,33396500,68.314248
3/17/11,80.379997,81.5,80.230003,81.160004,21941300,69.907764
3/18/11,81.769997,82.330002,80.849998,80.849998,28895900,69.640739
